,RHI,CMA,MHK,BWA,ETSY,IVZ,XRAY,DOC,MKTX,PNW,VFC,FRT,PARA,FMC,CHRW,HAS,GNRC,WHR,NCLH,ZION
Sep,-0.03345999999997886,-0.15267500000001596,-0.4764649999999975,0.040279999999999205,-0.4912650000000223,-0.04888000000000483,-0.03907000000000203,-0.07628499999999541,-1.3076600000000185,-0.18836000000001435,0.015075000000006611,-0.07806500000000156,-0.07009499999999713,-1.3566049999999805,0.19692500000000662,-0.3979449999999815,0.1758349999999808,-0.05732499999998595,0.027229999999999154,0.1011049999999937
Oct,0.05373636363634207,0.14123636363635583,0.02143181818184817,0.09904545454544494,0.12201818181816745,-0.04105454545454255,0.10473636363634481,-0.03391363636363589,4.110286363636294,0.2758045454545636,0.0014045454545413736,0.19666363636365763,-0.03654090909090645,0.5519681818181716,0.6410090909090694,-0.4775818181818252,0.2911272727272557,0.026336363636372987,-0.013881818181818934,-0.028299999999994763
Nov,0.09107619047616126,-0.002590909090895947,-0.018719047619048485,-0.2010857142857354,0.21772608695650844,0.046714285714283765,0.1398000000000012,-0.03795238095237904,0.9462904761904851,-0.04471904761903526,0.08467727272727199,-0.25655714285717307,0.19455833333333014,0.34867142857144107,-0.2737857142857013,0.21275238095237572,0.7395636363636355,-0.44315454545459104,0.02981250000000039,0.1511619047619331
Dec,-0.03609499999998107,0.6467714285714194,0.3280449999999682,0.02997619047618304,0.16296086956518127,0.20807499999999807,0.08498571428571348,0.06911999999999834,2.2673350000000325,-0.2894600000000203,0.08850799999999694,0.17131499999999916,0.034139999999997034,0.6280000000000021,0.2741699999999909,0.10089500000000698,-0.6607500000000279,0.42099090909094306,0.2037959999999935,0.3408318181818195
Jan,-0.5533238095238372,0.29500000000001686,0.581742857142847,0.06904782608697647,-0.4574541666666807,-0.02011428571428054,0.031666666666683545,0.07597142857142923,-3.5048952380952394,0.39266190476186374,-0.03456249999999813,-0.004095238095233288,-0.11454999999999808,0.14410476190477625,0.1382714285713995,0.11500909090909966,-0.6801909090909145,-0.2325478260869901,-0.11621199999999504,-0.05380454545456039
Overall,-0.09561325108225875,0.18554837662337603,0.0872071255411235,0.007452751364573651,-0.08920280566536917,0.028948090909090785,0.0644237489177482,-0.0006119177489165573,0.5022713203463108,0.02918548051947149,0.031020463636363755,0.0058522510822497775,0.0015024848484851,0.06322787445888212,0.19531796103895302,-0.0893740692640649,-0.02688300000001409,-0.057140019762850214,0.026148936363635817,0.10219883549783823
